utterance_id,language,speaker_id,reference_transcript,canonical_audio_path,duration_seconds,source_dataset,pilot_stratum,is_pilot
1187023182_2_34562_1,uz,1187023182,tayyor va arzon uy,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_34562_1.wav,2.494,ISSAI_USC_v1_murodbek_hf,uz_short,true
1187023182_2_35181_1,uz,1187023182,qo'rqib ketgan o'zbekistonlik erkak ikkita smartfonni mahkam ushlab qochgan,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_35181_1.wav,5.654,ISSAI_USC_v1_murodbek_hf,uz_medium,true
1187023182_2_35389_1,uz,1187023182,men bilan turkiya gruziya o'zbekiston va niderlandiyadan bo'lgan mutaxassislar ishlamoqda,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_35389_1.wav,6.111,ISSAI_USC_v1_murodbek_hf,,false
1187023182_2_35560_1,uz,1187023182,u esa jilmayib meni bag'riga bosib qo'yardi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_35560_1.wav,4.303,ISSAI_USC_v1_murodbek_hf,,false
1187023182_2_36906_1,uz,1187023182,o'zi anvarni bir yo'qlab bormadi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_36906_1.wav,3.51,ISSAI_USC_v1_murodbek_hf,,false
1187023182_2_37069_1,uz,1187023182,mening ko'zim uchib turgani yo'q ku o'zingiz bilasiz mansab talashadigan odammasman ammo,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_37069_1.wav,6.223,ISSAI_USC_v1_murodbek_hf,,false
1187023182_2_37236_1,uz,1187023182,hech narsani ko'rmaydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_37236_1.wav,2.159,ISSAI_USC_v1_murodbek_hf,uz_short,true
1187023182_2_37433_1,uz,1187023182,u yana oyoqlariga erk berdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_37433_1.wav,3.058,ISSAI_USC_v1_murodbek_hf,,false
1187023182_2_38181_1,uz,1187023182,shuning barobarida birovning hol so'rashini ham yoqtirmas edi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_38181_1.wav,4.638,ISSAI_USC_v1_murodbek_hf,,false
1187023182_2_38358_1,uz,1187023182,bolalaring isnoddan bosh ko'tarolmay yurishibdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1187023182_2_38358_1.wav,4.527,ISSAI_USC_v1_murodbek_hf,,false
1571110404_2_19204_1,uz,1571110404,biri mirzo mingan qora qashqa otning oltin jilovidan ikkinchisi kumush uzangisidan tutdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1571110404_2_19204_1.wav,7.707,ISSAI_USC_v1_murodbek_hf,,false
1571110404_2_19314_1,uz,1571110404,ko'shkda boburning buvisi eson davlat begim uni kutib o'tirgan bo'lsa kerak,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1571110404_2_19314_1.wav,4.707,ISSAI_USC_v1_murodbek_hf,,false
1571110404_2_36368_1,uz,1571110404,ey odam farzandi bilgilki bu dunyoda to'plagan boyliging merosxo'rlarga qoladi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1571110404_2_36368_1.wav,7.466,ISSAI_USC_v1_murodbek_hf,,false
1571110404_2_36488_1,uz,1571110404,paxmoqsoqol shunga yarasha uzoq duo qildi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1571110404_2_36488_1.wav,4.407,ISSAI_USC_v1_murodbek_hf,,false
1571110404_2_36596_1,uz,1571110404,o'shanga yutqizgan edim,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1571110404_2_36596_1.wav,2.187,ISSAI_USC_v1_murodbek_hf,uz_short,true
1571110404_2_36707_1,uz,1571110404,zohid uni topa oladimi hozir bilmaydi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1571110404_2_36707_1.wav,2.787,ISSAI_USC_v1_murodbek_hf,,false
1571110404_2_36820_1,uz,1571110404,yuksak madaniyatli ayol zohidda nafrat uyg'otdi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\1571110404_2_36820_1.wav,3.386,ISSAI_USC_v1_murodbek_hf,,false
909734087_2_28992_1,uz,909734087,labi osilgan yigitning bilagida ham igna izlari bor edi,C:\Users\erkin\central-asian-voice-benchmark\data\audio\phase3a\uz\909734087_2_28992_1.wav,4.106,ISSAI_USC_v1_murodbek_hf,,false
