utterance_id,speaker_id,transcript,split,language,source_type,gender,age,region,device_type,headphones,pilot_stratum
5fa23084bf8a8,20715,онда суретші болып жұмыс істейді,test,kk,studio_crowdsourced,F,28,Central,phone,no,
5f5a3867a567b,20715,бірақ мақтанатыны қазіргі кезде де сол дастархан басындағы пікір таластар ата бабамыздың басынан өткен оқиғалар әке шешеміздің қиыншылықтары туралы әңгімелеп отырады,test,kk,studio_crowdsourced,F,28,Central,phone,no,
5f5a3a7a16ebc,20715,екі мың оныншы жылғы мәліметтер бойынша тұрғындарының саны жеті жүз жиырма екі адамды құрайды,test,kk,studio_crowdsourced,F,28,Central,phone,no,
5f5fa22107b89,20715,бір күні ананың бұл өмірдегі миссиясы бітіп басқа өмірге аттанады,test,kk,studio_crowdsourced,F,28,Central,phone,no,
5f618850eae14,22037,ал жетістікке жеткен болса мен бұдан де ұлы белесті бағындыра аламын деп алдына мақсат қояды,test,kk,studio_crowdsourced,M,38,Central,phone,no,
5f618afd11dd4,22037,фильмнің алғашқы минуттарынан бастап күлкіге бөлінесің,test,kk,studio_crowdsourced,M,38,Central,phone,no,kk_medium
5f5af51dd15b0,12793,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,test,kk,studio_crowdsourced,F,25,East,phone,no,
5f5af6ad8d716,12793,ол ауадан ба тұқымнан ба ешкім әлі анықтаған емес,test,kk,studio_crowdsourced,F,25,East,phone,no,
5f5af83a1f389,12793,басқосуда облыс әкімі комиссия жетекшісіне түркістан қаласының жаңадан жасақталған бас жоспарын таныстырды,test,kk,studio_crowdsourced,F,25,East,phone,no,
5f57917eefdbf,20181,тыңдағым келеді сыбызғыны сендей ешкім тарта алмайды,test,kk,studio_crowdsourced,F,33,East,phone,no,kk_medium
5f5793d92cb6b,20181,олар кедейшілікпен күресте үлкен проблеманы көптеген майда мәселелерге бөліп жауаптарын проблема өткір тұрғын жерде тәжірибе жүргізе отырып табу керектігін дәлелдеді деген швед ғылым академиясы,test,kk,studio_crowdsourced,F,33,East,phone,no,
5f5795e949bbb,20181,ақтоғай ауданындағы назымбек белгібаев басқаратын шаруашылық көктемгі егісті мерзімінен бұрын аяқтады,test,kk,studio_crowdsourced,F,33,East,phone,no,
5f5799503cf47,20181,әбдіғапар хан аманкелді сардар болып сайланған жиында ел бастаған екі азаматқа ақ жол тілеп бата берген,test,kk,studio_crowdsourced,F,33,East,phone,no,
5f579ba68705d,20181,мемлекеттерді жедел тіркеу журналдары әдетте архивке енбейді бірақ қандай да бір тапсырманы орындағаннан кейін тағы да пайдалануға болады,test,kk,studio_crowdsourced,F,33,East,phone,no,
5f5e38d4287fe,20181,ақылға қонымсыз,test,kk,studio_crowdsourced,F,33,East,phone,no,kk_short
5f6066e2418c6,21572,сіздерді көктемнің алғашқы мерекесі әйелдердің халықаралық күнімен шын жүректен құттықтаймын,test,kk,studio_crowdsourced,M,25,East,phone,no,
5f61853f935e9,21572,алып жатқан жер аумағы он тоғыз бүтін жүзден сексен екі шарты километр шамасында,test,kk,studio_crowdsourced,M,25,East,phone,no,
5f618bcf0412c,21572,кешке марсқа суына шомыласыздар деп ізет танытты,test,kk,studio_crowdsourced,M,25,East,phone,no,
5f6065de17554,21573,бүкіл әлемді аралап болды енді қалғаны ғарышқа саяхаттау шығар,test,kk,studio_crowdsourced,M,40,East,phone,yes,
5f60de80e9201,21573,прокурорлар үш қылмыскерді өмір бойы бас бостандығынан айыруды сұрап отыр,test,kk,studio_crowdsourced,M,40,East,phone,yes,
5f60e5adba91d,21573,олардың бір бөлігі қазақстанда мың тоғыз жүз отызыншы жылғы мамырға дейін жүргізілген науқанда партиялық тазалау қатарына жатқызылып бкп құрамынан шығарылды,test,kk,studio_crowdsourced,M,40,East,phone,yes,
5f60e790c7970,21573,ал оның әрі қарайғы күтіміне ақша қарастырылмаған,test,kk,studio_crowdsourced,M,40,East,phone,yes,
5f2b0847dd9ff,15872,көрмедегі ең әдемі ең қымбат көліктер осы залда,test,kk,studio_crowdsourced,F,63,North,phone,no,
5f2b0a216c5be,15872,өзекті мәселені шешу үшін еліміздің сегіз өңірінде жас отбасыларға психологиялық және құқықтық көмек көрсету орталықтары ашылады,test,kk,studio_crowdsourced,F,63,North,phone,no,
