utterance_id,speaker_id,transcript,split,source_type,pilot_stratum
1187023182_2_34562_1,1187023182,tayyor va arzon uy,test,UNKNOWN,uz_short
1187023182_2_35181_1,1187023182,qo'rqib ketgan o'zbekistonlik erkak ikkita smartfonni mahkam ushlab qochgan,test,UNKNOWN,uz_medium
1187023182_2_35389_1,1187023182,men bilan turkiya gruziya o'zbekiston va niderlandiyadan bo'lgan mutaxassislar ishlamoqda,test,UNKNOWN,
1187023182_2_35560_1,1187023182,u esa jilmayib meni bag'riga bosib qo'yardi,test,UNKNOWN,
1187023182_2_36906_1,1187023182,o'zi anvarni bir yo'qlab bormadi,test,UNKNOWN,
1187023182_2_37069_1,1187023182,mening ko'zim uchib turgani yo'q ku o'zingiz bilasiz mansab talashadigan odammasman ammo,test,UNKNOWN,
1187023182_2_37236_1,1187023182,hech narsani ko'rmaydi,test,UNKNOWN,uz_short
1187023182_2_37433_1,1187023182,u yana oyoqlariga erk berdi,test,UNKNOWN,
1187023182_2_38181_1,1187023182,shuning barobarida birovning hol so'rashini ham yoqtirmas edi,test,UNKNOWN,
1187023182_2_38358_1,1187023182,bolalaring isnoddan bosh ko'tarolmay yurishibdi,test,UNKNOWN,
1571110404_2_19204_1,1571110404,biri mirzo mingan qora qashqa otning oltin jilovidan ikkinchisi kumush uzangisidan tutdi,test,UNKNOWN,
1571110404_2_19314_1,1571110404,ko'shkda boburning buvisi eson davlat begim uni kutib o'tirgan bo'lsa kerak,test,UNKNOWN,
1571110404_2_36368_1,1571110404,ey odam farzandi bilgilki bu dunyoda to'plagan boyliging merosxo'rlarga qoladi,test,UNKNOWN,
1571110404_2_36488_1,1571110404,paxmoqsoqol shunga yarasha uzoq duo qildi,test,UNKNOWN,
1571110404_2_36596_1,1571110404,o'shanga yutqizgan edim,test,UNKNOWN,uz_short
1571110404_2_36707_1,1571110404,zohid uni topa oladimi hozir bilmaydi,test,UNKNOWN,
1571110404_2_36820_1,1571110404,yuksak madaniyatli ayol zohidda nafrat uyg'otdi,test,UNKNOWN,
909734087_2_28992_1,909734087,labi osilgan yigitning bilagida ham igna izlari bor edi,test,UNKNOWN,
909734087_2_29769_1,909734087,odam yerda yuradi,test,UNKNOWN,uz_short
909734087_2_29872_1,909734087,ular uzoq kutishdi,test,UNKNOWN,uz_short
909734087_2_29992_1,909734087,gaplarini barcha ma'qullagan lekin uni himoya qilmagan edi,test,UNKNOWN,
909734087_2_31318_1,909734087,hamma gap shu o'xshatmasidanda,test,UNKNOWN,uz_short
909734087_2_81798_1,909734087,operativ ishlaganim uchun,test,UNKNOWN,uz_short
909734087_2_90328_1,909734087,hamdamga baravariga dahshat bilan boqishdi,test,UNKNOWN,uz_short
818938633_2_21338_1,818938633,o'zini kamtar tutgan kishi yuksalishni xohlaydi,test,UNKNOWN,uz_control
818938633_2_21372_1,818938633,kamroq zo'ravonlikka duch kelgan bola o'z o'zini anglaydigan bo'lib o'sadi,test,UNKNOWN,uz_medium
818938633_2_21416_1,818938633,inson mehnat uchun bilimga tavakkal uchun esa sharaf va qadr qimmatga ega bo'ladi,test,UNKNOWN,
818938633_2_74095_1,818938633,inson qanchalik yaxshi bo'lsa unga boshqalarning,test,UNKNOWN,
818938633_2_74141_1,818938633,bittasi halolligi uchun to'lovni talab qila,test,UNKNOWN,
818938633_2_82636_1,818938633,nomusida gumon qilish shunchalik qiyin bo'ladi,test,UNKNOWN,uz_short
818938633_2_82678_1,818938633,tinchlantiradigan jamiyatga zarar etkazadigan,test,UNKNOWN,
1289864764_2_31931_1,1289864764,mdh makonida barqaror taraqqiyotni ta'minlash birinchi navbatda o'zimizga ya'ni hamdo'stlik davlatlariga bog'liq,test,UNKNOWN,
1289864764_2_32358_1,1289864764,madaniyat va san'at kabi o'nlab muhim soha va tarmoqlar rivojini ayollarning ishtirokisiz tasavvur etib bo'lmaydi,test,UNKNOWN,
1289864764_2_32409_1,1289864764,bu fazilat el yurtimizning ezgu odatiga qadriyatiga aylanib ketgan,test,UNKNOWN,uz_medium
1289864764_2_32459_1,1289864764,shu borada yana bir fikrni ta'kidlab o'tishni istardim,test,UNKNOWN,
1289864764_2_32582_1,1289864764,shu munosabat bilan bir muhim narsadan doim sezgir bo'lishimiz darkor,test,UNKNOWN,
1289864764_2_32711_2,1289864764,bolalar sportini rivojlantirish jamg'armasi ijrochi direktori haqida so'z boradi,test,UNKNOWN,uz_medium
265773029_2_33374_2,265773029,avvalroq xitoyda tahsil olayotgan o'zbekistonlik talabalarning bir guruhi o'zbekistonga qaytarilgani haqida xabar berilgan edi,test,UNKNOWN,
265773029_2_75008_2,265773029,agar ilmiy kengash sen aytgan qarorda,test,UNKNOWN,
265773029_2_79849_1,265773029,avvalroq aqshda koronavirusni bezgakka qarshi dorilar bilan,test,UNKNOWN,
265773029_2_79873_1,265773029,biroq ayaks nurning oilasi bilan muzokara,test,UNKNOWN,
265773029_2_83580_2,265773029,esa sira kesishmaydi,test,UNKNOWN,
